origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Itatí,Itatí,,0.0000000,,
Itatí,San Cosme,,0.0000000,,
Itatí,Corrientes,,0.0000000,,
Itatí,San Antonio de Itatí,,0.0000000,,
Itatí,"San Luis del Palmar
",,0.0000000,,
Itatí,Ituzaingó,,0.0000000,,
Itatí,Caá Catí,,0.0000000,,
Itatí,Empedrado,,0.0000000,,
Itatí,Mburucuyá,,0.0000000,,
Itatí,San Miguel,,0.0000000,,
Itatí,Santo Tomé,,0.0000000,,
Itatí,Saladas,,0.0000000,,
Itatí,Concepción,,0.0000000,,
Itatí,Bella Vista,,0.0000000,,
Itatí,San Roque,,0.0000000,,
Itatí,Santa Lucía,,0.0000000,,
Itatí,Alvear,,0.0000000,,
Itatí,La Cruz,,0.0000000,,
Itatí,Mercedes,,0.0000000,,
Itatí,Goya,,0.0000000,,
Itatí,Curuzú Cuatiá,,0.0000000,,
Itatí,Esquina,,0.0000000,,
Itatí,Sauce,,0.0000000,,
Itatí,Paso de los Libres,,0.0000000,,
Itatí,Monte Caseros,,0.0000000,,
San Cosme,Itatí,,0.0000000,,
San Cosme,San Cosme,,0.0000000,,
San Cosme,Corrientes,429.4160112,60571.4617407,211.2777156,61212.1554675
San Cosme,San Antonio de Itatí,429.4160112,203617.6499758,4009.9223202,208056.9883071
San Cosme,"San Luis del Palmar
",429.4160112,203617.6499758,4009.9223202,208056.9883071
San Cosme,Ituzaingó,429.4160112,203617.6499758,4009.9223202,208056.9883071
San Cosme,Caá Catí,429.4160112,173140.7948935,1928.3353006,175498.5462052
San Cosme,Empedrado,429.4160112,106507.5656966,2244.3542961,109181.3360038
San Cosme,Mburucuyá,429.4160112,129303.6843825,1164.0450274,130897.1454210
San Cosme,San Miguel,429.4160112,129303.6843825,1164.0450274,130897.1454210
San Cosme,Santo Tomé,429.4160112,129303.6843825,1164.0450274,130897.1454210
San Cosme,Saladas,429.4160112,178254.3760961,2210.2429671,180894.0350744
San Cosme,Concepción,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Bella Vista,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,San Roque,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Santa Lucía,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Alvear,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,La Cruz,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Mercedes,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Goya,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Curuzú Cuatiá,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Esquina,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Sauce,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Paso de los Libres,429.4160112,182015.4943461,2237.2210667,184682.1314240
San Cosme,Monte Caseros,429.4160112,182015.4943461,2237.2210667,184682.1314240
Corrientes,Itatí,429.4160112,182015.4943461,2237.2210667,184682.1314240
Corrientes,San Cosme,211.2777156,60571.4617407,429.4160112,61212.1554675
Corrientes,Corrientes,211.2777156,0.0000000,429.4160112,61212.1554675
Corrientes,San Antonio de Itatí,211.2777156,183480.4894582,4009.9223202,187701.6894940
Corrientes,"San Luis del Palmar
",211.2777156,183480.4894582,4009.9223202,187701.6894940
Corrientes,Ituzaingó,211.2777156,183480.4894582,4009.9223202,187701.6894940
Corrientes,Caá Catí,211.2777156,153003.6343759,1928.3353006,155143.2473921
Corrientes,Empedrado,211.2777156,59253.8591324,2244.3542961,61709.4911442
Corrientes,Mburucuyá,211.2777156,109166.5238649,1164.0450274,110541.8466079
Corrientes,San Miguel,211.2777156,109166.5238649,1164.0450274,110541.8466079
Corrientes,Santo Tomé,211.2777156,109166.5238649,1164.0450274,110541.8466079
Corrientes,Saladas,211.2777156,158117.2155786,2210.2429671,160538.7362613
Corrientes,Concepción,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Bella Vista,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,San Roque,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Santa Lucía,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Alvear,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,La Cruz,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Mercedes,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Goya,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Curuzú Cuatiá,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Esquina,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Sauce,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Paso de los Libres,211.2777156,161878.3338286,2237.2210667,164326.8326109
Corrientes,Monte Caseros,211.2777156,161878.3338286,2237.2210667,164326.8326109
San Antonio de Itatí,Itatí,211.2777156,161878.3338286,2237.2210667,164326.8326109
San Antonio de Itatí,San Cosme,4009.9223202,203617.6499758,429.4160112,208056.9883071
San Antonio de Itatí,Corrientes,4009.9223202,183480.4894582,211.2777156,187701.6894940
San Antonio de Itatí,San Antonio de Itatí,4009.9223202,0.0000000,211.2777156,187701.6894940
San Antonio de Itatí,"San Luis del Palmar
",4009.9223202,0.0000000,211.2777156,187701.6894940
San Antonio de Itatí,Ituzaingó,4009.9223202,0.0000000,211.2777156,187701.6894940
San Antonio de Itatí,Caá Catí,4009.9223202,30476.8550822,1928.3353006,36415.1127030
San Antonio de Itatí,Empedrado,4009.9223202,184108.2241945,2244.3542961,190362.5008108
San Antonio de Itatí,Mburucuyá,4009.9223202,105527.8873578,1164.0450274,110701.8547054
San Antonio de Itatí,San Miguel,4009.9223202,105527.8873578,1164.0450274,110701.8547054
San Antonio de Itatí,Santo Tomé,4009.9223202,105527.8873578,1164.0450274,110701.8547054
San Antonio de Itatí,Saladas,4009.9223202,168088.8559038,2210.2429671,174309.0211911
San Antonio de Itatí,Concepción,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Bella Vista,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,San Roque,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Santa Lucía,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Alvear,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,La Cruz,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Mercedes,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Goya,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Curuzú Cuatiá,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Esquina,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Sauce,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Paso de los Libres,4009.9223202,152464.3819155,2237.2210667,158711.5253024
San Antonio de Itatí,Monte Caseros,4009.9223202,152464.3819155,2237.2210667,158711.5253024
"San Luis del Palmar
",Itatí,4009.9223202,152464.3819155,2237.2210667,158711.5253024
"San Luis del Palmar
",San Cosme,4009.9223202,152464.3819155,2237.2210667,158711.5253024
"San Luis del Palmar
",Corrientes,4009.9223202,152464.3819155,2237.2210667,158711.5253024
"San Luis del Palmar
",San Antonio de Itatí,4009.9223202,152464.3819155,2237.2210667,158711.5253024
"San Luis del Palmar
","San Luis del Palmar
",4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Ituzaingó,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Caá Catí,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Empedrado,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Mburucuyá,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",San Miguel,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Santo Tomé,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Saladas,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Concepción,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Bella Vista,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",San Roque,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Santa Lucía,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Alvear,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",La Cruz,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Mercedes,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Goya,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Curuzú Cuatiá,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Esquina,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Sauce,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Paso de los Libres,4009.9223202,0.0000000,2237.2210667,158711.5253024
"San Luis del Palmar
",Monte Caseros,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Itatí,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,San Cosme,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Corrientes,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,San Antonio de Itatí,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,"San Luis del Palmar
",4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Ituzaingó,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Caá Catí,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Empedrado,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Mburucuyá,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,San Miguel,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Santo Tomé,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Saladas,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Concepción,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Bella Vista,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,San Roque,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Santa Lucía,4009.9223202,0.0000000,2237.2210667,158711.5253024
Ituzaingó,Alvear,20549.6546583,207508.3203211,7122.7063150,235180.6812945
Ituzaingó,La Cruz,20549.6546583,267035.8450264,215.4465559,287800.9462407
Ituzaingó,Mercedes,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Goya,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Curuzú Cuatiá,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Esquina,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Sauce,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Paso de los Libres,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Ituzaingó,Monte Caseros,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Caá Catí,Itatí,20549.6546583,243277.6219080,3960.5622259,267787.8387923
Caá Catí,San Cosme,1928.3353006,173140.7948935,429.4160112,175498.5462052
Caá Catí,Corrientes,1928.3353006,153003.6343759,211.2777156,155143.2473921
Caá Catí,San Antonio de Itatí,1928.3353006,30476.8550822,4009.9223202,36415.1127030
Caá Catí,"San Luis del Palmar
",1928.3353006,30476.8550822,4009.9223202,36415.1127030
Caá Catí,Ituzaingó,1928.3353006,30476.8550822,4009.9223202,36415.1127030
Caá Catí,Caá Catí,1928.3353006,0.0000000,4009.9223202,36415.1127030
Caá Catí,Empedrado,1928.3353006,153631.3691122,2244.3542961,157804.0587089
Caá Catí,Mburucuyá,1928.3353006,75051.0322756,1164.0450274,78143.4126035
Caá Catí,San Miguel,1928.3353006,75051.0322756,1164.0450274,78143.4126035
Caá Catí,Santo Tomé,1928.3353006,75051.0322756,1164.0450274,78143.4126035
Caá Catí,Saladas,1928.3353006,137612.0008216,2210.2429671,141750.5790893
Caá Catí,Concepción,1928.3353006,121987.5268333,2237.2210667,126153.0832006
Caá Catí,Bella Vista,1928.3353006,121987.5268333,2237.2210667,126153.0832006
Caá Catí,San Roque,1928.3353006,121987.5268333,2237.2210667,126153.0832006
Caá Catí,Santa Lucía,1928.3353006,121987.5268333,2237.2210667,126153.0832006
Caá Catí,Alvear,1928.3353006,121987.5268333,2237.2210667,126153.0832006
Caá Catí,La Cruz,1928.3353006,121987.5268333,2237.2210667,126153.0832006
