origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Itatí,Itatí,,0.0000000,,
Itatí,San Cosme,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Corrientes,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,San Antonio de Itatí,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,"San Luis del Palmar
",3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Ituzaingó,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Caá Catí,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Empedrado,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Mburucuyá,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,San Miguel,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Santo Tomé,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Saladas,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Concepción,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Bella Vista,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,San Roque,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Santa Lucía,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Alvear,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,La Cruz,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Mercedes,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Goya,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Curuzú Cuatiá,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Esquina,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Sauce,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Paso de los Libres,3757.0961973,17957.9762212,5132.2474453,26847.3198638
Itatí,Monte Caseros,3757.0961973,17957.9762212,5132.2474453,26847.3198638
San Cosme,Itatí,5132.2474453,17957.9762212,3757.0961973,26847.3198638
San Cosme,San Cosme,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Corrientes,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,San Antonio de Itatí,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,"San Luis del Palmar
",5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Ituzaingó,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Caá Catí,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Empedrado,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Mburucuyá,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,San Miguel,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Santo Tomé,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Saladas,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Concepción,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Bella Vista,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,San Roque,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Santa Lucía,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Alvear,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,La Cruz,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Mercedes,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Goya,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Curuzú Cuatiá,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Esquina,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Sauce,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Paso de los Libres,5132.2474453,0.0000000,3757.0961973,26847.3198638
San Cosme,Monte Caseros,5132.2474453,0.0000000,3757.0961973,26847.3198638
Corrientes,Itatí,5132.2474453,0.0000000,3757.0961973,26847.3198638
Corrientes,San Cosme,5132.2474453,0.0000000,3757.0961973,26847.3198638
Corrientes,Corrientes,5132.2474453,0.0000000,3757.0961973,26847.3198638
Corrientes,San Antonio de Itatí,661.3488328,137567.7620675,6149.4889826,144378.5998830
Corrientes,"San Luis del Palmar
",661.3488328,27270.7527259,15395.6224774,43327.7240362
Corrientes,Ituzaingó,661.3488328,225752.6267515,2347.1649342,228761.1405185
Corrientes,Caá Catí,661.3488328,225752.6267515,2347.1649342,228761.1405185
Corrientes,Empedrado,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,Mburucuyá,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,San Miguel,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,Santo Tomé,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,Saladas,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,Concepción,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,Bella Vista,661.3488328,52260.5568334,2558.5208338,55480.4264999
Corrientes,San Roque,661.3488328,126736.2753679,3237.7114814,130635.3356821
Corrientes,Santa Lucía,661.3488328,126736.2753679,3237.7114814,130635.3356821
Corrientes,Alvear,661.3488328,126736.2753679,3237.7114814,130635.3356821
Corrientes,La Cruz,661.3488328,126736.2753679,3237.7114814,130635.3356821
Corrientes,Mercedes,661.3488328,126736.2753679,3237.7114814,130635.3356821
Corrientes,Goya,661.3488328,234203.6430013,17.2787801,234882.2706142
Corrientes,Curuzú Cuatiá,661.3488328,234203.6430013,17.2787801,234882.2706142
Corrientes,Esquina,661.3488328,343333.2967325,2500.0366667,346494.6822321
Corrientes,Sauce,661.3488328,743769.6269997,51309.5481680,795740.5240005
Corrientes,Paso de los Libres,661.3488328,743769.6269997,51309.5481680,795740.5240005
Corrientes,Monte Caseros,661.3488328,743769.6269997,51309.5481680,795740.5240005
San Antonio de Itatí,Itatí,661.3488328,743769.6269997,51309.5481680,795740.5240005
San Antonio de Itatí,San Cosme,661.3488328,743769.6269997,51309.5481680,795740.5240005
San Antonio de Itatí,Corrientes,6149.4889826,137567.7620675,661.3488328,144378.5998830
San Antonio de Itatí,San Antonio de Itatí,6149.4889826,0.0000000,661.3488328,144378.5998830
San Antonio de Itatí,"San Luis del Palmar
",6149.4889826,110297.0093416,15395.6224774,131842.1208017
San Antonio de Itatí,Ituzaingó,6149.4889826,88184.8646839,2347.1649342,96681.5186008
San Antonio de Itatí,Caá Catí,6149.4889826,88184.8646839,2347.1649342,96681.5186008
San Antonio de Itatí,Empedrado,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,Mburucuyá,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,San Miguel,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,Santo Tomé,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,Saladas,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,Concepción,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,Bella Vista,6149.4889826,189828.3189009,2558.5208338,198536.3287173
San Antonio de Itatí,San Roque,6149.4889826,264304.0374355,3237.7114814,273691.2378995
San Antonio de Itatí,Santa Lucía,6149.4889826,264304.0374355,3237.7114814,273691.2378995
San Antonio de Itatí,Alvear,6149.4889826,264304.0374355,3237.7114814,273691.2378995
